f / Hz	X / V	dX / V	Y / V	dY / V	A / V	dA / V	phi / rad	dphi/rad
4,982E+3	-1,480E-7	4,721E-8	0,000E+0	3,055E-8	1,480E-7	5,623E-8	3,142E+0	Inf
4,982E+3	-1,500E-7	3,926E-8	-3,400E-8	1,725E-8	1,538E-7	4,289E-8	-2,919E+0	-1,667E+0
4,983E+3	-1,480E-7	3,942E-8	4,600E-8	2,737E-8	1,550E-7	4,799E-8	2,840E+0	1,852E+0
4,983E+3	-1,720E-7	2,631E-8	1,800E-8	1,680E-8	1,729E-7	3,122E-8	3,037E+0	2,873E+0
4,983E+3	-2,200E-7	2,550E-8	-1,200E-8	1,393E-8	2,203E-7	2,905E-8	-3,087E+0	-3,601E+0
4,984E+3	-1,560E-7	2,977E-8	2,800E-8	1,294E-8	1,585E-7	3,246E-8	2,964E+0	1,482E+0
4,984E+3	-1,420E-7	2,897E-8	-1,800E-8	1,800E-8	1,431E-7	3,410E-8	-3,016E+0	-3,078E+0
4,984E+3	-1,840E-7	2,734E-8	2,200E-8	1,003E-8	1,853E-7	2,913E-8	3,023E+0	1,450E+0
4,984E+3	-1,460E-7	3,265E-8	1,800E-8	1,114E-8	1,471E-7	3,450E-8	3,019E+0	1,986E+0
4,984E+3	-1,780E-7	2,663E-8	2,000E-9	1,098E-8	1,780E-7	2,880E-8	3,130E+0	1,720E+1
4,985E+3	-2,000E-7	2,723E-8	2,400E-8	1,447E-8	2,014E-7	3,084E-8	3,022E+0	1,868E+0
4,985E+3	-1,880E-7	2,087E-8	1,600E-8	1,180E-8	1,887E-7	2,398E-8	3,057E+0	2,280E+0
4,985E+3	-2,060E-7	2,713E-8	6,000E-9	1,616E-8	2,061E-7	3,158E-8	3,112E+0	8,391E+0
4,986E+3	-1,160E-7	4,130E-8	-2,000E-9	2,010E-8	1,160E-7	4,593E-8	-3,124E+0	-3,142E+1
4,986E+3	-1,500E-7	3,862E-8	3,800E-8	3,192E-8	1,547E-7	5,011E-8	2,893E+0	2,542E+0
4,986E+3	-1,920E-7	3,613E-8	-2,000E-9	2,263E-8	1,920E-7	4,264E-8	-3,131E+0	-3,544E+1
4,986E+3	-1,380E-7	3,844E-8	6,000E-9	2,438E-8	1,381E-7	4,552E-8	3,098E+0	1,262E+1
4,986E+3	-1,780E-7	4,204E-8	3,400E-8	2,982E-8	1,812E-7	5,154E-8	2,953E+0	2,682E+0
4,987E+3	-1,040E-7	3,718E-8	-2,000E-9	2,590E-8	1,040E-7	4,531E-8	-3,122E+0	-4,045E+1
4,987E+3	-1,680E-7	3,353E-8	9,400E-8	3,734E-8	1,925E-7	5,018E-8	2,631E+0	1,170E+0
4,987E+3	-7,600E-8	3,618E-8	6,000E-9	2,818E-8	7,624E-8	4,587E-8	3,063E+0	1,446E+1
